2017-12-17 09:34:38.420545: I C:\tf_jenkins\home\workspace\rel-win\M\windows-gpu\PY\35\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX AVX2
2017-12-17 09:34:38.835796: I C:\tf_jenkins\home\workspace\rel-win\M\windows-gpu\PY\35\tensorflow\core\common_runtime\gpu\gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 960M major: 5 minor: 0 memoryClockRate(GHz): 1.176
pciBusID: 0000:01:00.0
totalMemory: 2.00GiB freeMemory: 1.65GiB
2017-12-17 09:34:38.836456: I C:\tf_jenkins\home\workspace\rel-win\M\windows-gpu\PY\35\tensorflow\core\common_runtime\gpu\gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 960M, pci bus id: 0000:01:00.0, compute capability: 5.0)
0 1 [[0 0 1 0]] [[0 0 1 0]]
1 1 [[4 0 2 0]] [[0 0 2 0]]
2 2 [[0 0 2 3]] [[0 0 2 3]]
3 3 [[0 0 2 5]] [[0 0 2 5]]
4 4 [[0 0 3 6]] [[0 0 3 6]]
5 5 [[0 0 3 9]] [[0 0 3 9]]
6 6 [[0 0 4 2]] [[0 0 4 2]]
7 7 [[0 0 4 3]] [[0 0 4 3]]
8 8 [[0 0 4 3]] [[0 0 4 3]]
9 9 [[0 0 4 7]] [[0 0 4 7]]
10 10 [[0 0 5 1]] [[0 0 5 1]]
11 11 [[0 0 6 2]] [[0 0 6 2]]
12 12 [[0 0 8 2]] [[0 0 8 2]]
13 13 [[0 0 9 0]] [[0 0 9 0]]
14 13 [[0 0 8 3]] [[0 0 9 3]]
15 14 [[0 0 9 5]] [[0 0 9 5]]
16 15 [[0 0 9 6]] [[0 0 9 6]]
17 16 [[0 0 9 7]] [[0 0 9 7]]
18 16 [[0 0 0 0]] [[0 1 0 0]]
19 16 [[0 0 2 4]] [[0 1 2 4]]
20 16 [[0 0 2 4]] [[0 1 2 4]]
21 16 [[0 0 2 6]] [[0 1 2 6]]
22 17 [[0 1 2 9]] [[0 1 2 9]]
23 18 [[0 1 3 2]] [[0 1 3 2]]
24 19 [[0 1 4 3]] [[0 1 4 3]]
25 20 [[0 1 4 5]] [[0 1 4 5]]
26 21 [[0 1 5 4]] [[0 1 5 4]]
27 22 [[0 1 5 5]] [[0 1 5 5]]
28 23 [[0 1 5 9]] [[0 1 5 9]]
29 24 [[0 1 5 9]] [[0 1 5 9]]
30 25 [[0 1 5 9]] [[0 1 5 9]]
31 26 [[0 1 6 2]] [[0 1 6 2]]
32 26 [[0 1 9 2]] [[0 1 8 2]]
33 26 [[0 1 0 4]] [[0 1 8 4]]
34 26 [[0 1 0 0]] [[0 2 0 0]]
35 26 [[0 1 2 4]] [[0 2 0 1]]
36 27 [[0 2 0 4]] [[0 2 0 4]]
37 27 [[0 1 2 9]] [[0 2 0 9]]
38 27 [[0 1 1 2]] [[0 2 1 2]]
39 27 [[0 1 2 3]] [[0 2 1 3]]
40 27 [[0 2 1 0]] [[0 2 1 4]]
41 28 [[0 2 1 8]] [[0 2 1 8]]
42 28 [[0 1 2 1]] [[0 2 2 1]]
43 29 [[0 2 2 2]] [[0 2 2 2]]
44 30 [[0 2 2 2]] [[0 2 2 2]]
45 30 [[0 2 0 4]] [[0 2 2 4]]
46 31 [[0 2 2 5]] [[0 2 2 5]]
47 31 [[0 2 1 1]] [[0 2 3 1]]
48 32 [[0 2 3 8]] [[0 2 3 8]]
49 33 [[0 2 3 9]] [[0 2 3 9]]
50 34 [[0 2 4 1]] [[0 2 4 1]]
51 35 [[0 2 4 7]] [[0 2 4 7]]
52 35 [[0 2 6 1]] [[0 2 5 1]]
53 36 [[0 2 5 4]] [[0 2 5 4]]
54 36 [[0 2 5 1]] [[0 2 5 7]]
55 37 [[0 2 5 8]] [[0 2 5 8]]
56 38 [[0 2 5 9]] [[0 2 5 9]]
57 39 [[0 2 6 4]] [[0 2 6 4]]
58 40 [[0 2 6 4]] [[0 2 6 4]]
59 41 [[0 2 6 6]] [[0 2 6 6]]
60 42 [[0 2 6 6]] [[0 2 6 6]]
61 42 [[0 2 3 5]] [[0 2 7 5]]
62 42 [[0 2 1 8]] [[0 2 7 8]]
63 42 [[0 2 4 7]] [[0 2 8 1]]
64 43 [[0 2 8 2]] [[0 2 8 2]]
65 44 [[0 2 8 3]] [[0 2 8 3]]
66 45 [[0 2 8 3]] [[0 2 8 3]]
67 46 [[0 2 8 4]] [[0 2 8 4]]
68 47 [[0 2 8 5]] [[0 2 8 5]]
69 48 [[0 2 8 6]] [[0 2 8 6]]
70 49 [[0 2 8 6]] [[0 2 8 6]]
71 50 [[0 2 8 6]] [[0 2 8 6]]
72 51 [[0 2 8 8]] [[0 2 8 8]]
73 52 [[0 2 8 9]] [[0 2 8 9]]
74 52 [[0 2 9 4]] [[0 2 9 1]]
75 52 [[0 2 9 4]] [[0 2 9 7]]
76 53 [[0 2 9 8]] [[0 2 9 8]]
77 53 [[0 2 8 2]] [[0 3 0 2]]
78 53 [[0 2 8 4]] [[0 3 0 4]]
79 53 [[0 2 8 6]] [[0 3 0 6]]
80 53 [[0 3 8 8]] [[0 3 0 8]]
81 53 [[0 3 7 6]] [[0 3 1 6]]
82 53 [[0 3 4 9]] [[0 3 1 9]]
83 54 [[0 3 2 6]] [[0 3 2 6]]
84 54 [[0 3 2 1]] [[0 3 2 6]]
85 55 [[0 3 2 6]] [[0 3 2 6]]
86 55 [[0 3 2 1]] [[0 3 2 7]]
87 55 [[0 3 1 8]] [[0 3 2 8]]
88 56 [[0 3 3 1]] [[0 3 3 1]]
89 56 [[0 3 7 3]] [[0 3 3 3]]
90 57 [[0 3 4 8]] [[0 3 4 8]]
91 58 [[0 3 5 1]] [[0 3 5 1]]
92 59 [[0 3 5 2]] [[0 3 5 2]]
93 60 [[0 3 5 3]] [[0 3 5 3]]
94 61 [[0 3 5 8]] [[0 3 5 8]]
95 61 [[0 3 6 8]] [[0 3 6 0]]
96 62 [[0 3 6 2]] [[0 3 6 2]]
97 62 [[0 3 5 8]] [[0 3 6 8]]
98 62 [[0 3 2 2]] [[0 3 7 2]]
99 62 [[0 3 2 3]] [[0 3 7 3]]
100 62 [[0 3 2 5]] [[0 3 7 5]]
101 62 [[0 3 2 5]] [[0 3 7 5]]
102 62 [[0 3 0 2]] [[0 3 8 2]]
103 62 [[0 3 0 8]] [[0 3 8 8]]
104 62 [[0 3 0 9]] [[0 3 8 9]]
105 63 [[0 3 9 3]] [[0 3 9 3]]
106 63 [[0 3 0 6]] [[0 3 9 4]]
107 64 [[0 3 9 6]] [[0 3 9 6]]
108 65 [[0 3 9 8]] [[0 3 9 8]]
109 66 [[0 3 9 9]] [[0 3 9 9]]
110 67 [[0 3 9 9]] [[0 3 9 9]]
111 67 [[0 5 1 3]] [[0 4 1 3]]
112 68 [[0 4 1 8]] [[0 4 1 8]]
113 68 [[0 4 2 8]] [[0 4 2 0]]
114 69 [[0 4 2 4]] [[0 4 2 4]]
115 70 [[0 4 2 9]] [[0 4 2 9]]
116 71 [[0 4 3 0]] [[0 4 3 0]]
117 72 [[0 4 3 5]] [[0 4 3 5]]
118 72 [[0 4 9 5]] [[0 4 3 5]]
119 73 [[0 4 3 7]] [[0 4 3 7]]
120 74 [[0 4 3 9]] [[0 4 3 9]]
121 75 [[0 4 3 9]] [[0 4 3 9]]
122 76 [[0 4 4 2]] [[0 4 4 2]]
123 77 [[0 4 4 4]] [[0 4 4 4]]
124 78 [[0 4 4 5]] [[0 4 4 5]]
125 79 [[0 4 4 5]] [[0 4 4 5]]
126 79 [[0 4 4 1]] [[0 4 4 7]]
127 80 [[0 4 5 3]] [[0 4 5 3]]
128 81 [[0 4 5 4]] [[0 4 5 4]]
129 82 [[0 4 5 5]] [[0 4 5 5]]
130 83 [[0 4 5 5]] [[0 4 5 5]]
131 83 [[0 4 5 9]] [[0 4 5 8]]
